model,topic,auto_label,human_label,F,F_label,top10
A_frozen_snapshot_k10,0,기록·1위·발매·차트형,음원차트기록형(기록·1위·차트·최초),3,차트·확산형(1위·빌보드·기록),기록 1위 발매 차트 데뷔 최초 k팝 그룹 누적 앨범
A_frozen_snapshot_k10,1,무대·2026년·보도·8월형,동남아현지보도형(보도·매체·인도네시아·기사),0,현장경제형(콘서트·투어·매진),무대 2026년 보도 8월 기사 인도네시아 매체 팬덤 함께 공연
A_frozen_snapshot_k10,2,출연·예능·mbc·sbs형,예능방송출연형(예능·출연·mbc·sbs),2,미디어노출형(방송·조회수),출연 예능 mbc sbs mc kbs kbs2 고정 공개 출연해
A_frozen_snapshot_k10,3,앨범·1위·판매·이상형,일본오리콘앨범형(일본·빌보드·오리콘·판매),3,차트·확산형(1위·빌보드·기록),앨범 1위 판매 이상 데뷔 일본 빌보드 차트 오리콘 ep
A_frozen_snapshot_k10,4,million·album·japan·chart형,글로벌음반판매형(million·album·copies·chart),1,소비력형(초동·판매·앨범),million album japan chart music copies pop group korea korean
A_frozen_snapshot_k10,5,공식·팬클럽·유튜브·채널형,팬클럽공식기부형(공식·팬클럽·기부·콘텐츠),4,결속형(팬클럽·기부·커뮤니티),공식 팬클럽 유튜브 채널 팬덤 활동 기부 데뷔 콘텐츠 2025년
A_frozen_snapshot_k10,6,콘서트·공연·보도·투어형,단독콘서트월드투어형(콘서트·투어·단독·월드투어),0,현장경제형(콘서트·투어·매진),콘서트 공연 보도 투어 단독 데뷔 일본 개최 태국 월드투어
A_frozen_snapshot_k10,7,브랜드·모델·광고·앰버서더형,브랜드앰버서더형(브랜드·광고·앰버서더·매진),0,현장경제형(콘서트·투어·매진),브랜드 모델 광고 앰버서더 콘서트 발탁 매진 티켓 2025년 글로벌
A_frozen_snapshot_k10,8,tour·concert·fan·sold형,월드투어매진형(tour·concert·sold·world),1,소비력형(초동·판매·앨범),tour concert fan sold world seoul brand ambassador club awards
A_frozen_snapshot_k10,9,드라마·ost·출연·예능형,영화드라마출연형(드라마·ost·영화·출연),2,미디어노출형(방송·조회수),드라마 ost 출연 예능 영화 참여 수상 프로그램 나무위키 mbc
B_live_k10,0,수상·부문·올해·박서진형,,,,수상 부문 올해 박서진 시상식 에서 8월 팬덤 아티스트 10월
B_live_k10,1,드라마·ost·유튜브·채널형,,,,드라마 ost 유튜브 채널 참여 따르면 영화 공식 문서 에서
B_live_k10,2,일본·함께·아랍어·출연형,,,,일본 함께 아랍어 출연 데뷔 게임 확인 프랑스 2026년 멤버
B_live_k10,3,일본·보도·공연·매체형,,,,일본 보도 공연 매체 기사 대만 콘서트 투어 소식 인도네시아
B_live_k10,4,콘서트·2026년·공연·데뷔형,,,,콘서트 2026년 공연 데뷔 서울 2025년 단독 팬클럽 9월 만에
B_live_k10,5,출연·예능·무대·함께형,,,,출연 예능 무대 함께 출연해 2026년 에서 mbc 방송 sbs
B_live_k10,6,기록·1위·발매·앨범형,,,,기록 1위 발매 앨범 차트 데뷔 빌보드 최초 k팝 판매
B_live_k10,7,브랜드·광고·모델·앰버서더형,,,,브랜드 광고 모델 앰버서더 발탁 캠페인 글로벌 활동 홍보대사 2024년
B_live_k10,8,fan·tour·concert·japan형,,,,fan tour concert japan sold album million group music official
B_live_k10,9,보도·공식·태국·매체형,,,,보도 공식 태국 매체 팬들 팬클럽 팬덤 필리핀 브라질 콘서트
C_frozen_refit_k10,0,ost·드라마·참여·화제형,,,,ost 드라마 참여 화제 발매 타이틀곡 데뷔 공개 신곡 데뷔곡
C_frozen_refit_k10,1,공식·팬클럽·팬덤·팬덤명형,,,,공식 팬클럽 팬덤 팬덤명 stray kids 팬클럽명 모집 멤버십 asian
C_frozen_refit_k10,2,콘서트·기사·무대·부산형,,,,콘서트 기사 무대 부산 출연 dome 2026년 인터뷰 함께 billion
C_frozen_refit_k10,3,공연·데뷔·콘서트·투어형,,,,공연 데뷔 콘서트 투어 일본 2025년 무대 도시 관객 서울
C_frozen_refit_k10,4,보도·콘서트·공연·매체형,,,,보도 콘서트 공연 매체 단독 티켓 팬들 태국 매진 소식
C_frozen_refit_k10,5,브랜드·모델·광고·앰버서더형,,,,브랜드 모델 광고 앰버서더 발탁 캠페인 글로벌 2025년 8월 2024년
C_frozen_refit_k10,6,fan·tour·concert·sold형,,,,fan tour concert sold japan million album music group chart
C_frozen_refit_k10,7,유튜브·공식·홍보대사·2026년형,,,,유튜브 공식 홍보대사 2026년 채널 팬클럽 8월 콘텐츠 활동 위촉
C_frozen_refit_k10,8,기록·1위·앨범·차트형,,,,기록 1위 앨범 차트 발매 데뷔 빌보드 최초 k팝 판매량
C_frozen_refit_k10,9,출연·예능·영화·mbc형,,,,출연 예능 영화 mbc 활동 sbs 출연해 드라마 멤버 프로그램
D_live_reference_k8,0,브랜드·광고·모델·앰버서더형,,3,브랜드·상업형(광고·앰버서더),브랜드 광고 모델 앰버서더 발탁 캠페인 글로벌 출연 2025년 2024년
D_live_reference_k8,1,기록·1위·앨범·발매형,,4,차트·확산형(1위·빌보드·기록),기록 1위 앨범 발매 데뷔 차트 최초 k팝 그룹 빌보드
D_live_reference_k8,2,콘서트·공연·보도·단독형,,0,현장경제형(콘서트·투어·매진),콘서트 공연 보도 단독 매체 투어 티켓 서울 2025년 월드투어
D_live_reference_k8,3,fan·japan·tour·concert형,,1,소비력형(초동·판매·앨범),fan japan tour concert sold album million group music official
D_live_reference_k8,4,무대·2026년·함께·축제형,,0,현장경제형(콘서트·투어·매진),무대 2026년 함께 축제 페스티벌 화제 반응 영상 콘텐츠 대학축제
D_live_reference_k8,5,출연·데뷔·예능·일본형,,0,현장경제형(콘서트·투어·매진),출연 데뷔 예능 일본 2026년 활동 2025년 함께 영화 출연해
D_live_reference_k8,6,공식·팬클럽·활동·중국형,,0,현장경제형(콘서트·투어·매진),공식 팬클럽 활동 중국 팬덤 보도 홍보대사 팬들 라는 8월
D_live_reference_k8,7,ost·드라마·기부·수상형,,2,결속형(팬클럽·기부·커뮤니티),ost 드라마 기부 수상 2025년 팬클럽 지원 참여 원을 부문
E_live_k8,0,수상·티켓·만에·콘서트형,,,,수상 티켓 만에 콘서트 판매 이상 매진 기록 부문 brand
E_live_k8,1,ost·fan·japan·sold형,,,,ost fan japan sold album million music group official chart
E_live_k8,2,일본·보도·데뷔·최초형,,,,일본 보도 데뷔 최초 한국 영화 아랍어 함께 콘서트 확인
E_live_k8,3,보도·매체·공연·일본형,,,,보도 매체 공연 일본 콘서트 팬들 기사 태국 소식 대만
E_live_k8,4,콘서트·2025년·공식·팬클럽형,,,,콘서트 2025년 공식 팬클럽 2026년 데뷔 서울 공연 8월 9월
E_live_k8,5,출연·예능·무대·에서형,,,,출연 예능 무대 에서 드라마 2026년 함께 출연해 mbc sbs
E_live_k8,6,1위·기록·앨범·차트형,,,,1위 기록 앨범 차트 발매 tour concert 빌보드 판매량 데뷔
E_live_k8,7,브랜드·광고·모델·앰버서더형,,,,브랜드 광고 모델 앰버서더 발탁 캠페인 글로벌 활동 2026년 홍보대사
