stage,fired_at,before_total,after_total,net_new_bullets,n_touched_fandoms,note
v6_round1,,2403,2598,195,69,v6 1차 병합 라운드
v6_round2,,2598,2674,76,,v6 2차 병합 라운드(같은 로그 파일 내 기록)
v6.3_market_research,,2674,2836,162,80,시장 다양화 라운드
v6.4_language_research,,2836,3154,318,70,언어 다양화 라운드
v7_round1,2026-09-02T00:23:21.032485Z,3154,3416,262,93,
v7_round2,2026-09-02T01:24:01.733008Z,3416,3651,235,80,
v7_round3,2026-09-02T05:29:26.401199Z,3651,3955,304,96,
v7_round4,2026-09-02T11:56:46.742540Z,3955,4097,142,41,
v7_round5,2026-09-02T12:30:00Z,4097,4232,135,9,v7 5라운드 (Member Mention Pilot 다국적 멤버 보강)
v7_round6,2026-09-02T22:03:00Z,4232,4426,194,61,v7 6라운드 (미조사 59개 팬덤 재조사 + Member Mention Pilot 다국적 멤버 개인 이슈 보강)
v7_round7,2026-09-03T00:14:00Z,4426,4523,97,47,v7 7라운드 (국내 지역 총체적 리서치 — Domestic Regional Pilot 신설)
v7_round8,2026-09-03T01:44:00Z,4523,4604,81,44,v7 8라운드 (행사 단위 후기 리서치 — 지역축제/대학교축제/기업·국가주도 축제)
v7_round9,2026-09-03T02:30:00Z,4604,4747,143,27,v7 9라운드 (소수언어 보강 리서치 — 프랑스어(fr) 신규 확보 + ja/zh/es/id/th/ru/vi 보강)
v7_round10,2026-09-03T04:00:00Z,4747,4878,131,79,v7 10라운드 (미디어 크로스오버 리서치 — 예능/드라마/영화/유튜브 활동)
v7_round11,2026-09-03T05:30:00Z,4878,5021,143,68,v7 11라운드 (미디어 크로스오버 리서치 2배 보강)
v7_round12,2026-09-03T21:00:00Z,5021,5041,20,14,v7 12라운드 (v7 7라운드 미조사 32개 팬덤 국내 지역 리서치 보완)
v7_round13,2026-09-03T22:30:00Z,5041,5099,58,33,v7 13라운드 (v7 8라운드 이벤트 후기 리서치 NOT_ATTEMPTED_R8 41개 팬덤 백필)
v7_round14,2026-09-03T23:35:00Z,5099,5108,9,5,v7 14라운드 (v7 11라운드 미디어 크로스오버 NOT_ATTEMPTED_R11 10개 팬덤 백필 — 부분 완료)
v7_round15,2026-09-04T00:20:00Z,5108,5123,15,5,v7 15라운드 (NOT_ATTEMPTED_R14 5개 팬덤 백필 — NOT_ATTEMPTED_R11 완전 소진)
v7_round16,2026-09-04T02:00:00Z,5123,5429,306,39,"v7 16라운드 (소수언어 보강 리서치 재개 — 수집 상한 6건→10건 상향, ja/zh/es/id/th 5개 언어 완료)"
v7_round17,2026-09-04T02:35:00Z,5429,5454,25,10,"v7 17라운드 (국내 지역 리서치 3차 보강 — Domestic Regional Pilot 검출 지역 수 확대, 부분 완료)"
v7_round18,2026-09-04T03:40:00Z,5454,5476,22,8,"v7 18라운드 (국내 지역 리서치 4차 보강 — NOT_ATTEMPTED_R17 16개 팬덤 백필, 전원 완료)"
v7_round19,2026-09-04T04:20:00Z,5476,5557,81,36,"v7 19라운드 (소수언어 보강 리서치 재개 — ru/vi 전량 완료, fr 부분 완료)"
v7_round20,2026-09-04T05:10:00Z,5557,5566,9,3,"v7 20라운드 (소수언어 보강 리서치 완결 — 프랑스어 잔여 24개 팬덤 백필, 8개 언어 전부 완료)"
v7_round21,2026-09-04T05:55:00Z,5566,5605,39,28,"v7 21라운드 (Domestic Regional Pilot 검출 지역 수 2배 확대 — 1차 착수, 부분 진행)"
v7_round22,2026-09-04T06:55:00Z,5606,5612,6,4,"v7 22라운드 (Domestic Regional Pilot 검출 지역 수 2배 확대 — 2차 착수, KOPIS 대안 소스 탐색)"
