col,word,df,tf
0,000개,3,3
1,000만원,5,5
2,000명,22,24
3,000석,16,17
4,000엔,3,3
5,000여,2,2
6,000원,4,4
7,000일,3,3
8,000장,18,19
9,000회,2,2
10,004원씩,2,2
11,019장,2,2
12,046일,2,2
13,082장,2,2
14,0순위,2,2
15,0을,2,2
16,10000일,4,4
17,1000곡,4,4
18,1000만뷰,2,3
19,1000만원,5,5
20,1000여,2,2
21,100m,3,5
22,100th,2,2
23,100년,3,3
24,100만장,11,12
25,100명,2,2
26,100번째,2,2
27,100억,5,5
28,100억원,5,5
29,100위,2,2
30,100위권,2,2
31,100일,5,5
32,100주년,3,3
33,100포,5,5
34,100회,3,3
35,104차,2,2
36,1087억원,2,2
37,10cm,53,67
38,10m,2,2
39,10th,27,28
40,10ve,5,5
41,10가지,2,2
42,10개,10,10
43,10개월,3,3
44,10개월간,2,2
45,10곡,3,3
46,10년,36,36
47,10년간,7,7
48,10대,7,7
49,10만명,6,6
50,10만장,5,5
51,10명,3,3
52,10배,4,4
53,10번째,2,2
54,10분,14,14
55,10시,8,8
56,10억,14,18
57,10억뷰,2,2
58,10억원,6,6
59,10여,4,4
60,10월,258,271
61,10위,9,11
62,10위권,3,3
63,10인,3,4
64,10일,76,77
65,10일자,2,2
66,10장,2,2
67,10주년,134,139
68,10집,6,6
69,10회,7,8
70,110년,2,2
71,110대,4,4
72,110만장,5,5
73,114만원,2,2
74,116명,2,2
75,11th,2,2
76,11개,4,4
77,11개국,2,2
78,11개월,6,6
79,11곡,5,5
80,11년,26,26
81,11년간,3,3
82,11명,4,5
83,11배,2,2
84,11시,7,7
85,11월,235,241
86,11위,12,12
87,11인,2,2
88,11일,73,73
89,11일자,2,2
90,11주,3,3
91,11회,3,3
92,120개국,2,2
93,120만원,2,2
94,126장,2,2
95,127위,2,2
96,129억원,2,2
97,12th,2,2
98,12가지,2,2
99,12개,5,5
100,12개국,4,4
101,12년,9,9
102,12년간,2,2
103,12명,3,3
104,12부작,2,2
105,12분,2,2
106,12시간,2,2
107,12월,229,238
108,12월호,2,2
109,12위,7,7
110,12일,63,63
111,12주년,5,5
112,12집,3,3
113,12편,2,2
114,12회,8,8
115,130m,2,2
116,13th,2,2
117,13개,7,7
118,13개국,2,2
119,13곡,2,2
120,13곳,2,2
121,13관왕,2,2
122,13년,7,7
123,13명,2,2
124,13억,2,2
125,13위,6,6
126,13일,58,59
127,13주년,3,3
128,13회,2,2
129,140kg,2,2
130,140포,2,2
131,141억,2,2
132,141주,2,2
133,147장,2,2
134,149위,2,2
135,14개,6,6
136,14개국,2,2
137,14개소,2,2
138,14개월,2,2
139,14관왕,2,2
140,14년,9,9
141,14배,2,2
142,14번째,2,2
143,14위,3,3
144,14일,79,79
145,14주년,3,3
146,14회,3,3
147,150만장,3,3
148,150분,2,2
149,152만장,2,2
150,156장,2,2
151,15th,4,4
152,15개,5,5
153,15곡,3,3
154,15관왕,2,2
155,15년,18,18
156,15번째,3,3
157,15억원,2,2
158,15위,11,11
159,15일,54,54
160,15주,2,2
161,15주년,23,23
162,165개,2,2
163,16개,4,4
164,16개국,3,3
165,16년,6,6
166,16분,2,2
167,16세,3,3
168,16억,2,2
169,16위,3,3
170,16일,44,44
171,16주년,3,3
172,16집,2,2
173,170만장,3,3
174,17th,2,2
175,17개,9,9
176,17년,9,9
177,17세,2,2
178,17억,2,2
179,17위,2,2
180,17일,57,58
181,17주년,4,4
182,17집,2,2
183,17팀,2,2
184,180만장,2,2
185,182장,2,2
186,188장,2,2
187,18th,2,2
188,18개,2,2
189,18개국,3,3
190,18개월,3,3
191,18년,6,6
192,18만장,2,2
193,18억,2,2
194,18일,69,69
195,18주년,4,4
196,18회,2,2
197,190개,2,2
198,1959회,2,2
199,1971년,3,3
200,1974년,2,2
201,1980년,2,2
202,1980년대,2,2
203,1981년,4,4
204,1981년생,3,3
205,1984년,3,3
206,1985년,3,3
207,1986년,3,3
208,1987년,7,8
209,1988년,3,3
210,1989년,2,2
211,1990년,4,4
212,1990년대,4,4
213,1992년,2,2
214,1993년,4,4
215,1994년,10,10
216,1996년,8,9
217,1997년,10,10
218,1998년,14,14
219,1998년생,2,2
220,1999년,16,16
221,19세,2,2
222,19일,83,84
223,19주년,3,3
224,19회,6,6
225,1llionaire,2,2
226,1m,3,3
227,1st,29,29
228,1tv,2,2
229,1x1,2,2
230,1개월,3,3
231,1건당,2,2
232,1기,15,15
233,1년,49,50
234,1년간,6,6
235,1년여,2,2
236,1등,3,3
237,1만,31,34
238,1만6,2,2
239,1만명,3,3
240,1만원,2,2
241,1만일,4,4
242,1만장,3,3
243,1매,2,2
244,1박,8,9
245,1부,2,2
246,1분,14,14
247,1분기,4,4
248,1세대,10,11
249,1순위,6,6
250,1시,6,6
251,1시간,7,7
252,1억,83,84
253,1억뷰,6,7
254,1억원,27,28
255,1억원씩,2,2
256,1억회,2,2
257,1에,2,2
258,1월,229,242
259,1위,468,544
260,1위곡,4,4
261,1위였,5,5
262,1인,8,9
263,1인당,3,3
264,1일,70,70
265,1일자,2,2
266,1장,2,3
267,1조,2,2
268,1주년,9,9
269,1주일,10,10
270,1집,42,44
271,1차,12,12
272,1천,7,7
273,1층,5,5
274,1탄,2,2
275,1호,4,4
276,1회,5,6
277,2000년,23,23
278,2000년대,9,9
279,2000만원,3,3
280,2000명,2,2
281,2000장,2,2
282,2001년,24,26
283,2002년,28,28
284,2003년,44,45
285,2004년,34,35
286,2005년,26,26
287,2006년,26,26
288,2007년,44,45
289,2008년,45,48
290,2009년,52,52
291,200개,2,2
292,200만,2,2
293,200만명,2,2
294,200만원,2,2
295,200만장,3,3
296,200명,2,2
297,200분간,2,2
298,200석,3,4
299,200억원,2,2
300,2010년,62,62
301,2010년경,2,2
302,2010년대,6,6
303,2011년,77,78
304,2012년,110,112
305,2013년,98,101
306,2014년,96,97
307,2015년,140,142
308,2016년,176,178
309,2017년,157,158
310,2018년,195,197
311,2019년,237,238
312,2020s,2,2
313,2020년,246,249
314,2021년,208,216
315,2022년,287,289
316,2023년,392,397
317,2024년,565,581
318,2025년,872,903
319,2026년,1004,1045
320,2027년,11,11
321,205장,2,2
322,20th,23,23
323,20개,5,5
324,20곡,2,2
325,20년,28,28
326,20년간,2,2
327,20대,5,5
328,20만원,2,2
329,20만장,2,2
330,20분,10,10
331,20억,6,7
332,20억원,2,2
333,20여,4,4
334,20일,62,63
335,20장,2,2
336,20주년,98,100
337,20주년인,2,2
338,20회,7,7
339,213회,2,2
340,214장,2,2
341,21개,2,2
342,21년,3,3
343,21세기,8,8
344,21위,4,4
345,21일,68,70
346,21주년,3,3
347,22개,2,2
348,22곡,2,2
349,22년,4,4
350,22대,2,2
351,22분,3,3
352,22억,2,2
353,22위,4,4
354,22일,77,77
355,23개,6,6
356,23년,5,5
357,23년간,4,4
358,23일,72,72
359,23주년,3,3
360,23편,2,2
361,24곡,2,2
362,24년,4,4
363,24시간,19,19
364,24억,2,2
365,24억원,2,2
366,24위,4,4
367,24일,47,47
368,24초,2,2
369,2500만원,2,2
370,2500명,2,3
371,250만원,2,2
372,25ss,2,2
373,25th,4,4
374,25개,3,3
375,25년,6,6
376,25년간,2,2
377,25만장,3,3
378,25명,2,2
379,25시,6,6
380,25억,5,5
381,25일,73,73
382,25일자,2,2
383,25주년,14,14
384,25화,2,2
385,260만장,2,2
386,26개,7,7
387,26년,7,7
388,26년차,2,2
389,26일,64,65
390,26주년,7,7
391,27개,3,3
392,27년,3,3
393,27일,59,59
394,27회,4,4
395,281장,3,3
396,28개,4,4
397,28곡,2,2
398,28년,4,4
399,28번째,3,3
400,28위,2,2
401,28일,71,71
402,28회,2,2
403,29위,3,3
404,29일,56,56
405,29회,3,3
406,2days,2,2
407,2km,2,2
408,2nd,25,26
409,2pm,3,3
410,2sao,2,2
411,2tv,8,8
412,2개,6,6
413,2개월,7,7
414,2관왕,7,7
415,2기,15,15
416,2년,70,70
417,2년간,9,9
418,2단계,2,2
419,2라운드,3,3
420,2막,2,2
421,2만,31,31
422,2만3,3,3
423,2배,13,13
424,2번째,3,3
425,2부,3,3
426,2분,11,11
427,2분기,2,2
428,2세대,4,4
429,2시,7,7
430,2시간,12,12
431,2억,13,14
432,2억원,5,5
433,2에,2,2
434,2월,238,245
435,2월6일,2,2
436,2위,73,76
437,2인,2,2
438,2일,76,77
439,2일간,2,2
440,2일차,2,2
441,2장,3,3
442,2주,18,18
443,2주간,3,3
444,2주년,8,9
445,2집,62,65
446,2차,13,13
447,2천,15,15
448,2탄,3,3
449,2톤,2,2
450,2학년,2,2
451,2회,28,30
452,2회씩,2,2
453,2회차,7,7
454,300개,2,2
455,300만원,5,5
456,300만장,3,3
457,300명,4,4
458,300억,3,3
459,300억원,3,3
460,300여,2,2
461,300회,4,4
462,3040세대,2,2
463,30th,4,4
464,30가구,3,3
