col,word,df,tf
0,000개,3,3
1,000만원,4,4
2,000명,16,18
3,000석,14,15
4,000원,4,4
5,000일,2,2
6,000장,15,16
7,000회,2,2
8,019장,2,2
9,046일,2,2
10,082장,2,2
11,0순위,2,2
12,0시,2,2
13,1,3,4
14,10000일,3,3
15,1000곡,2,2
16,1000만뷰,2,3
17,1000만원,3,3
18,100m,2,4
19,100th,2,2
20,100년,2,2
21,100만장,11,12
22,100억,5,5
23,100억원,5,5
24,100위,2,2
25,100일,3,3
26,100주년,2,2
27,100포,3,3
28,100회,2,2
29,104차,2,2
30,1087억원,2,2
31,10cm,34,40
32,10m,2,2
33,10th,25,26
34,10ve,5,5
35,10개,10,10
36,10곡,3,3
37,10년,21,21
38,10년간,4,4
39,10대,5,5
40,10만명,3,3
41,10만장,5,5
42,10명,2,2
43,10배,4,4
44,10분,8,8
45,10시,6,6
46,10억,11,15
47,10억뷰,2,2
48,10억원,5,5
49,10여,2,2
50,10월,150,158
51,10위,8,10
52,10인,3,4
53,10일,39,39
54,10일자,2,2
55,10주년,89,92
56,10집,3,3
57,10회,6,7
58,110대,3,3
59,110만장,5,5
60,11th,2,2
61,11개,2,2
62,11개월,5,5
63,11곡,3,3
64,11년,16,16
65,11배,2,2
66,11시,6,6
67,11월,142,147
68,11위,11,11
69,11일,42,42
70,11일자,2,2
71,11주,3,3
72,11회,3,3
73,120개국,2,2
74,120만원,2,2
75,126장,2,2
76,127위,2,2
77,129억원,2,2
78,12th,2,2
79,12가지,2,2
80,12개,4,4
81,12개국,4,4
82,12년,9,9
83,12부작,2,2
84,12시간,2,2
85,12월,146,151
86,12위,5,5
87,12일,39,39
88,12주년,4,4
89,12집,3,3
90,12편,2,2
91,12회,6,6
92,130m,2,2
93,13th,2,2
94,13개,6,6
95,13개국,2,2
96,13곳,2,2
97,13관왕,2,2
98,13년,5,5
99,13억,2,2
100,13위,5,5
101,13일,32,32
102,13회,2,2
103,140kg,2,2
104,140포,2,2
105,141주,2,2
106,147장,2,2
107,149위,2,2
108,14개,5,5
109,14관왕,2,2
110,14년,7,7
111,14배,2,2
112,14위,2,2
113,14일,46,46
114,14주년,2,2
115,14회,3,3
116,150만장,3,3
117,152만장,2,2
118,156장,2,2
119,15th,4,4
120,15개,3,3
121,15곡,3,3
122,15관왕,2,2
123,15년,15,15
124,15번째,3,3
125,15억원,2,2
126,15위,9,9
127,15일,28,28
128,15주,2,2
129,15주년,15,15
130,16개,3,3
131,16년,4,4
132,16분,2,2
133,16억,2,2
134,16위,2,2
135,16일,29,29
136,16주년,2,2
137,170만장,3,3
138,17th,2,2
139,17개,8,8
140,17년,5,5
141,17억,2,2
142,17위,2,2
143,17일,35,35
144,17주년,3,3
145,17팀,2,2
146,180만장,2,2
147,182장,2,2
148,188장,2,2
149,18th,2,2
150,18개,2,2
151,18개국,2,2
152,18개월,2,2
153,18년,5,5
154,18만장,2,2
155,18억,2,2
156,18일,46,46
157,18주년,3,3
158,1959회,2,2
159,1971년,2,2
160,1980년대,2,2
161,1984년,2,2
162,1986년,2,2
163,1987년,3,4
164,1988년,2,2
165,1990년,2,2
166,1990년대,3,3
167,1993년,2,2
168,1994년,8,8
169,1996년,5,6
170,1997년,6,6
171,1998년,11,11
172,1999년,9,9
173,19일,51,51
174,19주년,2,2
175,19회,6,6
176,1m,3,3
177,1st,19,19
178,1tv,2,2
179,1x1,2,2
180,1개월,2,2
181,1건당,2,2
182,1기,10,10
183,1년,28,29
184,1년간,4,4
185,1년여,2,2
186,1등,3,3
187,1만,26,29
188,1만6,2,2
189,1만명,2,2
190,1만일,4,4
191,1만장,2,2
192,1박,8,9
193,1분,9,9
194,1분기,2,2
195,1세대,5,6
196,1순위,4,4
197,1시,4,4
198,1시간,5,5
199,1억,61,62
200,1억뷰,6,7
201,1억원,17,18
202,1억회,2,2
203,1에,2,2
204,1월,143,150
205,1위,359,419
206,1위곡,3,3
207,1위였,4,4
208,1의,7,7
209,1이,10,10
210,1인,5,5
211,1인당,3,3
212,1일,47,48
213,1일자,2,2
214,1조,2,2
215,1주년,8,8
216,1주일,9,9
217,1집,26,27
218,1차,8,8
219,1천,4,4
220,1층,2,2
221,1호,3,3
222,1회,3,4
223,2,5,5
224,2000년,15,15
225,2000년대,5,5
226,2000만원,2,2
227,2000명,2,2
228,2001년,11,12
229,2002년,17,17
230,2003년,22,23
231,2004년,17,18
232,2005년,14,14
233,2006년,18,18
234,2007년,22,23
235,2008년,21,23
236,2009년,26,26
237,200개,2,2
238,200만,2,2
239,200만명,2,2
240,200만원,2,2
241,200만장,3,3
242,200석,2,3
243,200억원,2,2
244,2010년,26,26
245,2010년대,6,6
246,2011년,44,45
247,2012년,70,72
248,2013년,62,65
249,2014년,58,59
250,2015년,86,88
251,2016년,111,113
252,2017년,98,98
253,2018년,125,126
254,2019년,150,151
255,2020s,2,2
256,2020년,157,160
257,2021년,143,150
258,2022년,192,193
259,2023년,274,277
260,2024년,384,394
261,2025년,560,581
262,2026년,584,605
263,2027년,8,8
264,2030세대,2,2
265,20th,21,21
266,20개,5,5
267,20곡,2,2
268,20년,22,22
269,20년간,2,2
270,20대,6,6
271,20만원,2,2
